,alpha,N,Strategy,Loser-effect,Winner-effect,Rule,filename
77,1,10,random,transient,transient,aggressor_wins,Data/Crickets_TL_TW_77.csv
78,1,10,random,transient,transient,aggressor_wins,Data/Crickets_TL_TW_78.csv
79,1,10,random,transient,transient,aggressor_wins,Data/Crickets_TL_TW_79.csv
80,1,10,random,transient,transient,aggressor_wins,Data/Crickets_TL_TW_80.csv
81,1,10,random,transient,transient,aggressor_wins,Data/Crickets_TL_TW_81.csv
82,1,10,random,transient,transient,aggressor_wins,Data/Crickets_TL_TW_82.csv
83,1,10,random,transient,transient,aggressor_wins,Data/Crickets_TL_TW_83.csv
84,1,10,random,transient,transient,aggressor_wins,Data/Crickets_TL_TW_84.csv
85,1,10,random,transient,transient,aggressor_wins,Data/Crickets_TL_TW_85.csv
86,1,10,random,transient,transient,aggressor_wins,Data/Crickets_TL_TW_86.csv
87,1,10,random,transient,transient,aggressor_wins,Data/Crickets_TL_TW_87.csv
88,1,10,random,transient,transient,aggressor_wins,Data/Crickets_TL_TW_88.csv
89,1,10,random,transient,transient,aggressor_wins,Data/Crickets_TL_TW_89.csv
90,1,10,random,transient,transient,aggressor_wins,Data/Crickets_TL_TW_90.csv
91,1,10,random,transient,transient,aggressor_wins,Data/Crickets_TL_TW_91.csv
92,1,10,random,transient,transient,aggressor_wins,Data/Crickets_TL_TW_92.csv
93,1,10,random,transient,transient,aggressor_wins,Data/Crickets_TL_TW_93.csv
94,1,10,random,transient,transient,aggressor_wins,Data/Crickets_TL_TW_94.csv
95,1,10,random,transient,transient,aggressor_wins,Data/Crickets_TL_TW_95.csv
96,1,10,random,transient,transient,aggressor_wins,Data/Crickets_TL_TW_96.csv
97,1,10,random,transient,transient,aggressor_wins,Data/Crickets_TL_TW_97.csv
98,1,10,random,transient,transient,aggressor_wins,Data/Crickets_TL_TW_98.csv
99,1,10,random,transient,transient,aggressor_wins,Data/Crickets_TL_TW_99.csv
